index,antibiotic
22,aztreonam
22,cefazolin
22,cefoxitin
22,ertapenem
22,imipenem
22,meropenem
23,amoxicillin-clavulanic acid
23,ampicillin-sulbactam
23,ampicillin
23,aztreonam
23,cefazolin
23,cefoxitin
23,ertapenem
23,imipenem
23,meropenem
24,amoxicillin-clavulanic acid
24,ampicillin-sulbactam
24,ampicillin
24,aztreonam
24,cefazolin
24,cefoxitin
24,ertapenem
24,imipenem
24,meropenem
24,tetracycline
25,amoxicillin-clavulanic acid
25,ampicillin-sulbactam
25,ampicillin
25,aztreonam
25,cefazolin
25,ertapenem
25,imipenem
25,meropenem
26,amoxicillin-clavulanic acid
26,cefazolin
26,ceftriaxone
26,ertapenem
26,meropenem
26,tetracycline
26,tobramycin
27,amoxicillin-clavulanic acid
27,cefazolin
27,cefepime
27,ceftazidime
27,ceftriaxone
27,meropenem
27,tetracycline
28,amoxicillin-clavulanic acid
28,ampicillin-sulbactam
28,ampicillin
28,cefazolin
28,cefoxitin
28,doripenem
28,ertapenem
28,imipenem
28,meropenem
29,amoxicillin-clavulanic acid
29,ampicillin-sulbactam
29,ampicillin
29,aztreonam
29,cefazolin
29,cefoxitin
29,ertapenem
29,imipenem
29,meropenem
30,ampicillin-sulbactam
30,ampicillin
30,cefazolin
30,cefoxitin
30,chloramphenicol
30,colistin
30,polymyxin B
30,tetracycline
31,ampicillin-sulbactam
31,ampicillin
31,aztreonam
31,cefazolin
31,cefotaxime
31,cefoxitin
31,ceftazidime
31,ceftriaxone
31,colistin
31,gentamicin
31,minocycline
31,polymyxin B
31,tetracycline
31,tobramycin
32,ampicillin-sulbactam
32,ampicillin
32,cefazolin
32,colistin
32,polymyxin B
32,tetracycline
33,amoxicillin-clavulanic acid
33,cefepime
33,ceftazidime
33,ceftriaxone
33,ciprofloxacin
33,gentamicin
33,imipenem
33,levofloxacin
33,tetracycline
33,tobramycin
34,colistin
34,trimethoprim-sulfamethoxazole
35,colistin
35,minocycline
36,amoxicillin
36,ampicillin
36,cefazolin
36,imipenem
36,oxacillin
37,colistin
38,erythromycin
38,gentamicin
38,penicillin
39,clindamycin
39,erythromycin
39,penicillin
40,amoxicillin
40,ampicillin
40,carbenicillin
40,cefazolin
40,cefepime
40,ceftriaxone
40,clindamycin
40,oxacillin
41,clindamycin
41,erythromycin
41,gentamicin
59,amoxicillin-clavulanic acid
59,ampicillin-sulbactam
59,ampicillin
59,aztreonam
59,cefazolin
59,cefepime
59,cefotaxime
59,cefoxitin
59,ceftazidime
59,ceftriaxone
59,doripenem
59,ertapenem
59,imipenem
59,meropenem
59,piperacillin-tazobactam
59,tetracycline
59,tobramycin
67,ampicillin
67,cefazolin
68,ampicillin
68,cefazolin
68,cefotaxime
68,cefoxitin
68,ceftazidime
68,ciprofloxacin
69,ampicillin
69,cefazolin
69,cefotaxime
69,cefoxitin
69,ceftazidime
70,ampicillin
70,cefoxitin
71,ampicillin
71,cefazolin
71,cefotaxime
71,cefoxitin
71,ceftazidime
71,ertapenem
85,amoxicillin-clavulanic acid
85,ampicillin-sulbactam
85,ampicillin
85,aztreonam
85,cefazolin
85,cefotaxime
85,ceftazidime
85,ceftriaxone
85,cefuroxime
85,ciprofloxacin
85,ertapenem
85,gentamicin
85,imipenem
85,levofloxacin
85,piperacillin-tazobactam
85,tetracycline
85,tobramycin
85,trimethoprim-sulfamethoxazole
86,amoxicillin-clavulanic acid
86,cefazolin
86,cefepime
86,cefoxitin
86,ceftazidime
86,ceftriaxone
86,ciprofloxacin
86,ertapenem
86,gentamicin
86,levofloxacin
86,piperacillin-tazobactam
86,tobramycin
87,amoxicillin-clavulanic acid
87,cefazolin
87,cefepime
87,cefoxitin
87,ceftazidime
87,ceftriaxone
87,piperacillin-tazobactam
88,amoxicillin-clavulanic acid
88,ampicillin-sulbactam
88,ampicillin
88,aztreonam
88,cefazolin
88,cefotaxime
88,cefotetan
88,cefoxitin
88,ceftazidime
88,ceftriaxone
88,cefuroxime
88,colistin
88,ertapenem
88,fosfomycin
88,imipenem
88,meropenem
88,piperacillin-tazobactam
88,ticarcillin-clavulanic acid
89,amoxicillin-clavulanic acid
89,ampicillin
89,cefazolin
89,cefepime
89,cefotaxime
89,cefoxitin
89,ceftazidime
89,ceftriaxone
89,imipenem
89,piperacillin-tazobactam
89,tobramycin
89,trimethoprim-sulfamethoxazole
90,amoxicillin-clavulanic acid
90,ampicillin
90,aztreonam
90,cefazolin
90,cefepime
90,cefotaxime
90,cefoxitin
90,ceftazidime
90,ceftriaxone
90,doripenem
90,ertapenem
90,imipenem
90,meropenem
90,piperacillin-tazobactam
91,amoxicillin-clavulanic acid
91,ampicillin
91,aztreonam
91,cefazolin
91,cefepime
91,cefotaxime
91,cefoxitin
91,ceftazidime
91,ceftriaxone
91,ciprofloxacin
91,doripenem
91,ertapenem
91,imipenem
91,levofloxacin
91,meropenem
91,piperacillin-tazobactam
91,tetracycline
92,amoxicillin-clavulanic acid
92,ampicillin
92,aztreonam
92,cefazolin
92,cefotaxime
92,cefoxitin
92,ceftazidime
92,ceftriaxone
92,ciprofloxacin
92,ertapenem
92,levofloxacin
92,piperacillin-tazobactam
93,amoxicillin-clavulanic acid
93,ampicillin
93,aztreonam
93,cefazolin
93,cefotaxime
93,cefoxitin
93,ceftazidime
93,ceftriaxone
94,amoxicillin-clavulanic acid
94,ampicillin
94,aztreonam
94,cefazolin
94,cefotaxime
94,cefoxitin
94,ceftazidime
94,ceftriaxone
94,piperacillin-tazobactam
94,tetracycline
94,trimethoprim-sulfamethoxazole
95,amoxicillin-clavulanic acid
95,ampicillin
95,aztreonam
95,cefazolin
95,cefotaxime
95,cefoxitin
95,ceftazidime
95,ceftriaxone
96,amoxicillin-clavulanic acid
96,ampicillin
96,aztreonam
96,cefazolin
96,cefotaxime
96,cefoxitin
96,ceftazidime
96,ceftriaxone
96,ciprofloxacin
96,ertapenem
96,levofloxacin
97,amoxicillin-clavulanic acid
97,ampicillin
97,aztreonam
97,cefazolin
97,cefotaxime
97,cefoxitin
97,ceftazidime
97,ceftriaxone
97,ertapenem
97,piperacillin-tazobactam
98,amoxicillin-clavulanic acid
98,ampicillin
98,aztreonam
98,cefazolin
98,cefotaxime
98,cefoxitin
98,ceftazidime
98,ceftriaxone
98,piperacillin-tazobactam
99,amoxicillin-clavulanic acid
99,ampicillin
99,aztreonam
99,cefazolin
99,cefotaxime
99,cefoxitin
99,ceftazidime
99,ceftriaxone
100,amoxicillin-clavulanic acid
100,ampicillin
100,aztreonam
100,cefazolin
100,cefotaxime
100,cefoxitin
100,ceftazidime
100,ceftriaxone
100,ertapenem
100,meropenem
101,amoxicillin-clavulanic acid
101,ampicillin
101,aztreonam
101,cefazolin
101,cefotaxime
101,cefoxitin
101,ceftazidime
101,ceftriaxone
101,doripenem
101,ertapenem
101,imipenem
101,meropenem
101,piperacillin-tazobactam
102,amoxicillin-clavulanic acid
102,ampicillin
102,aztreonam
102,cefazolin
102,cefotaxime
102,cefoxitin
102,ceftazidime
102,ceftriaxone
102,ciprofloxacin
102,ertapenem
102,levofloxacin
102,piperacillin-tazobactam
102,tetracycline
102,trimethoprim-sulfamethoxazole
103,amoxicillin-clavulanic acid
103,ampicillin-sulbactam
103,ampicillin
103,aztreonam
103,cefazolin
103,cefotaxime
103,cefoxitin
103,ceftazidime
103,ceftriaxone
103,ciprofloxacin
103,ertapenem
103,levofloxacin
103,piperacillin-tazobactam
103,tetracycline
105,amoxicillin-clavulanic acid
105,ampicillin
105,aztreonam
105,cefazolin
105,cefotaxime
105,cefoxitin
105,ceftazidime
105,ceftriaxone
105,gentamicin
105,trimethoprim-sulfamethoxazole
106,amoxicillin-clavulanic acid
106,ampicillin
106,aztreonam
106,cefazolin
106,cefotaxime
106,cefoxitin
106,ceftazidime
106,ceftriaxone
106,ertapenem
106,piperacillin-tazobactam
107,amoxicillin-clavulanic acid
107,ampicillin
107,aztreonam
107,cefazolin
107,cefepime
107,cefotaxime
107,cefoxitin
107,ceftazidime
107,ceftriaxone
107,ciprofloxacin
107,ertapenem
107,imipenem
107,levofloxacin
107,meropenem
107,piperacillin-tazobactam
107,tetracycline
108,amoxicillin-clavulanic acid
108,ampicillin
108,aztreonam
108,cefazolin
108,cefotaxime
108,cefoxitin
108,ceftazidime
108,ceftriaxone
108,piperacillin-tazobactam
109,amoxicillin-clavulanic acid
109,ampicillin
109,aztreonam
109,cefazolin
109,cefotaxime
109,cefoxitin
109,ceftazidime
109,ceftriaxone
109,piperacillin-tazobactam
110,amoxicillin-clavulanic acid
110,ampicillin
110,aztreonam
110,cefazolin
110,cefotaxime
110,cefoxitin
110,ceftazidime
110,ceftriaxone
110,ciprofloxacin
110,gentamicin
110,levofloxacin
110,piperacillin-tazobactam
110,tetracycline
110,tobramycin
110,trimethoprim-sulfamethoxazole
111,amoxicillin-clavulanic acid
111,ampicillin
111,aztreonam
111,cefazolin
111,cefotaxime
111,cefoxitin
111,ceftazidime
111,ceftriaxone
111,ertapenem
111,piperacillin-tazobactam
112,amoxicillin-clavulanic acid
112,ampicillin
112,aztreonam
112,cefazolin
112,cefotaxime
112,cefoxitin
112,ceftazidime
112,ceftriaxone
112,ciprofloxacin
112,doripenem
112,ertapenem
112,imipenem
112,levofloxacin
112,meropenem
112,tetracycline
112,trimethoprim-sulfamethoxazole
113,amoxicillin-clavulanic acid
113,ampicillin
113,aztreonam
113,cefazolin
113,cefotaxime
113,cefoxitin
113,ceftazidime
113,ceftriaxone
113,piperacillin-tazobactam
114,amoxicillin-clavulanic acid
114,ampicillin
114,aztreonam
114,cefazolin
114,cefotaxime
114,cefoxitin
114,ceftazidime
114,ceftriaxone
115,amoxicillin-clavulanic acid
115,cefoxitin
115,ceftriaxone
115,ciprofloxacin
115,levofloxacin
115,nitrofurantoin
115,piperacillin-tazobactam
116,amoxicillin-clavulanic acid
116,cefazolin
116,cefepime
116,cefoxitin
116,ceftazidime
116,ceftriaxone
117,amoxicillin-clavulanic acid
117,cefazolin
117,cefoxitin
117,ceftazidime
117,ceftriaxone
117,piperacillin-tazobactam
118,amoxicillin-clavulanic acid
118,cefazolin
118,cefoxitin
118,ceftriaxone
119,amoxicillin-clavulanic acid
119,cefoxitin
119,ceftazidime
119,ceftriaxone
119,piperacillin-tazobactam
120,amoxicillin-clavulanic acid
120,ampicillin-sulbactam
120,ampicillin
120,aztreonam
120,cefazolin
120,cefepime
120,cefotaxime
120,cefoxitin
120,ceftazidime
120,ceftriaxone
120,piperacillin-tazobactam
121,amoxicillin-clavulanic acid
121,cefoxitin
121,ceftazidime
121,ceftriaxone
121,piperacillin-tazobactam
122,amoxicillin-clavulanic acid
122,cefepime
122,cefoxitin
122,ceftazidime
122,ceftriaxone
122,ciprofloxacin
122,gentamicin
122,levofloxacin
122,nitrofurantoin
122,piperacillin-tazobactam
122,tobramycin
122,trimethoprim-sulfamethoxazole
123,amoxicillin-clavulanic acid
123,cefoxitin
123,ceftazidime
123,ceftriaxone
123,piperacillin-tazobactam
124,amoxicillin-clavulanic acid
124,cefoxitin
124,ceftazidime
124,ceftriaxone
124,ciprofloxacin
124,levofloxacin
124,piperacillin-tazobactam
124,tetracycline
125,amoxicillin-clavulanic acid
125,ampicillin-sulbactam
125,ampicillin
125,aztreonam
125,cefazolin
125,cefepime
125,cefotaxime
125,cefoxitin
125,ceftazidime
125,ceftriaxone
125,ciprofloxacin
125,doripenem
125,ertapenem
125,gentamicin
125,imipenem
125,levofloxacin
125,meropenem
125,piperacillin-tazobactam
125,tetracycline
125,tigecycline
125,tobramycin
125,trimethoprim-sulfamethoxazole
126,amoxicillin-clavulanic acid
126,cefoxitin
126,ceftazidime
126,ceftriaxone
126,piperacillin-tazobactam
127,amoxicillin-clavulanic acid
127,cefoxitin
127,ceftazidime
127,ceftriaxone
127,piperacillin-tazobactam
128,amoxicillin-clavulanic acid
128,cefoxitin
128,ceftazidime
128,ceftriaxone
128,gentamicin
128,nitrofurantoin
128,tetracycline
128,tobramycin
128,trimethoprim-sulfamethoxazole
129,ertapenem
130,cefepime
130,cefoxitin
130,ceftazidime
130,ceftriaxone
130,ciprofloxacin
130,levofloxacin
130,meropenem
130,trimethoprim-sulfamethoxazole
131,amoxicillin-clavulanic acid
131,ampicillin-sulbactam
131,ampicillin
131,aztreonam
131,cefazolin
131,cefotaxime
131,cefoxitin
131,ceftazidime
131,ceftriaxone
131,piperacillin-tazobactam
132,amoxicillin-clavulanic acid
132,ampicillin-sulbactam
132,ampicillin
132,aztreonam
132,cefazolin
132,cefotaxime
132,cefoxitin
132,ceftazidime
132,ceftriaxone
132,piperacillin-tazobactam
133,ampicillin-sulbactam
133,ampicillin
133,aztreonam
133,cefazolin
133,cefepime
133,cefotaxime
133,cefoxitin
133,ceftazidime
133,ceftolozane-tazobactam
133,ceftriaxone
133,ciprofloxacin
133,doripenem
133,ertapenem
133,gentamicin
133,imipenem
133,levofloxacin
133,meropenem
133,piperacillin-tazobactam
133,tetracycline
133,tobramycin
133,trimethoprim-sulfamethoxazole
134,ampicillin-sulbactam
134,ampicillin
134,aztreonam
134,cefazolin
134,cefotaxime
134,cefoxitin
134,ceftazidime
134,ceftolozane-tazobactam
134,ceftriaxone
134,ertapenem
134,piperacillin-tazobactam
135,amoxicillin-clavulanic acid
135,ampicillin-sulbactam
135,ampicillin
135,aztreonam
135,cefazolin
135,cefoxitin
135,ertapenem
135,imipenem
135,meropenem
136,amoxicillin-clavulanic acid
136,ampicillin-sulbactam
136,ampicillin
136,aztreonam
136,cefazolin
136,cefotaxime
136,cefoxitin
136,ceftazidime
136,ceftriaxone
136,doripenem
136,ertapenem
136,imipenem
136,meropenem
136,piperacillin-tazobactam
137,ampicillin-sulbactam
137,ampicillin
137,aztreonam
137,cefazolin
137,cefepime
137,cefotaxime
137,cefoxitin
137,ceftazidime-avibactam
137,ceftazidime
137,ceftriaxone
137,piperacillin-tazobactam
138,amoxicillin-clavulanic acid
138,ampicillin-sulbactam
138,ampicillin
138,cefazolin
138,cefotaxime
138,cefoxitin
138,ceftazidime
138,ceftriaxone
139,amoxicillin-clavulanic acid
139,ampicillin
139,aztreonam
139,cefazolin
139,cefepime
139,cefotaxime
139,cefoxitin
139,ceftazidime
139,ceftriaxone
139,chloramphenicol
139,ciprofloxacin
139,doripenem
139,ertapenem
139,imipenem
139,levofloxacin
139,meropenem
139,piperacillin-tazobactam
139,trimethoprim-sulfamethoxazole
140,ampicillin-sulbactam
140,ampicillin
140,aztreonam
140,cefazolin
140,cefepime
140,cefotaxime
140,cefoxitin
140,ceftazidime
140,ceftriaxone
140,colistin
140,doripenem
140,ertapenem
140,gentamicin
140,imipenem
140,meropenem
140,piperacillin-tazobactam
140,polymyxin B
140,tetracycline
140,tobramycin
140,trimethoprim-sulfamethoxazole
141,ampicillin-sulbactam
141,ampicillin
141,aztreonam
141,cefazolin
141,cefotaxime
141,cefoxitin
141,ceftazidime
141,ceftriaxone
141,chloramphenicol
141,gentamicin
141,minocycline
141,tetracycline
141,tobramycin
141,trimethoprim-sulfamethoxazole
142,ampicillin-sulbactam
142,ampicillin
142,cefazolin
142,chloramphenicol
142,colistin
142,polymyxin B
142,tetracycline
143,ampicillin-sulbactam
143,ampicillin
143,aztreonam
143,cefazolin
143,cefotaxime
143,cefoxitin
143,ceftazidime
143,ceftriaxone
143,ciprofloxacin
143,delafloxacin
143,levofloxacin
143,trimethoprim-sulfamethoxazole
144,ampicillin
144,cefazolin
144,cefoxitin
144,delafloxacin
144,trimethoprim-sulfamethoxazole
145,ampicillin
145,cefazolin
145,cefoxitin
145,delafloxacin
146,ampicillin-sulbactam
146,ampicillin
146,aztreonam
146,cefazolin
146,cefepime
146,cefotaxime
146,cefoxitin
146,ceftazidime
146,ceftriaxone
146,delafloxacin
146,gentamicin
146,tetracycline
146,tobramycin
146,trimethoprim-sulfamethoxazole
147,ampicillin-sulbactam
147,ampicillin
147,cefazolin
147,cefoxitin
148,amikacin
148,ampicillin-sulbactam
148,ampicillin
148,aztreonam
148,cefepime
148,cefotaxime
148,cefoxitin
148,ceftazidime
148,ceftolozane-tazobactam
148,ceftriaxone
148,ciprofloxacin
148,ertapenem
148,gentamicin
148,levofloxacin
148,minocycline
148,piperacillin-tazobactam
148,tetracycline
148,tobramycin
148,trimethoprim-sulfamethoxazole
149,ampicillin-sulbactam
149,ampicillin
149,aztreonam
149,cefazolin
149,cefepime
149,cefotaxime
149,cefoxitin
149,ceftazidime-avibactam
149,ceftazidime
149,ceftolozane-tazobactam
149,ceftriaxone
149,ciprofloxacin
149,doripenem
149,ertapenem
149,gentamicin
149,imipenem
149,levofloxacin
149,piperacillin-tazobactam
149,tobramycin
149,trimethoprim-sulfamethoxazole
150,ampicillin-sulbactam
150,ampicillin
150,cefazolin
150,cefepime
150,cefotaxime
150,cefoxitin
150,ceftazidime-avibactam
150,ceftazidime
150,ceftolozane-tazobactam
150,ceftriaxone
150,doripenem
150,ertapenem
150,imipenem
150,piperacillin-tazobactam
150,trimethoprim-sulfamethoxazole
151,ertapenem
151,imipenem
151,meropenem
153,ampicillin-sulbactam
153,ampicillin
153,cefotaxime
153,cefoxitin
153,ceftazidime-avibactam
153,ceftazidime
153,ceftolozane-tazobactam
153,ceftriaxone
153,ciprofloxacin
153,delafloxacin
153,ertapenem
153,levofloxacin
153,nitrofurantoin
153,trimethoprim-sulfamethoxazole
154,ampicillin-sulbactam
154,ampicillin
154,aztreonam
154,cefepime
154,cefotaxime
154,cefoxitin
154,ceftazidime-avibactam
154,ceftazidime
154,ceftolozane-tazobactam
154,ceftriaxone
154,ciprofloxacin
154,delafloxacin
154,ertapenem
154,levofloxacin
154,minocycline
154,nitrofurantoin
154,piperacillin-tazobactam
154,trimethoprim-sulfamethoxazole
155,amoxicillin-clavulanic acid
155,ampicillin-sulbactam
155,ampicillin
155,aztreonam
155,cefepime
155,cefotaxime
155,cefoxitin
155,ceftazidime
155,cefuroxime
155,ciprofloxacin
155,colistin
155,ertapenem
155,fosfomycin
155,levofloxacin
155,meropenem
155,piperacillin-tazobactam
155,tobramycin
155,trimethoprim-sulfamethoxazole
156,amoxicillin-clavulanic acid
156,ampicillin-sulbactam
156,ampicillin
156,aztreonam
156,cefepime
156,cefotaxime
156,cefoxitin
156,ceftazidime
156,cefuroxime
156,ciprofloxacin
156,colistin
156,ertapenem
156,fosfomycin
156,levofloxacin
156,meropenem
156,piperacillin-tazobactam
156,tobramycin
156,trimethoprim-sulfamethoxazole
157,amoxicillin-clavulanic acid
157,ampicillin-sulbactam
157,ampicillin
157,cefazolin
157,cefuroxime
157,imipenem
157,nitrofurantoin
157,piperacillin-tazobactam
157,tetracycline
157,tigecycline
157,trimethoprim-sulfamethoxazole
158,amoxicillin-clavulanic acid
158,ampicillin
158,cefazolin
158,cefepime
158,cefoxitin
158,ceftazidime
158,ceftriaxone
158,ciprofloxacin
158,gentamicin
158,levofloxacin
158,meropenem
158,piperacillin-tazobactam
158,tetracycline
158,trimethoprim-sulfamethoxazole
159,amoxicillin-clavulanic acid
159,ampicillin
159,ceftazidime
159,ceftriaxone
159,ciprofloxacin
159,levofloxacin
159,tetracycline
159,trimethoprim-sulfamethoxazole
160,amoxicillin-clavulanic acid
160,ampicillin-sulbactam
160,ampicillin
160,aztreonam
160,cefazolin
160,cefepime
160,cefotaxime
160,cefoxitin
160,ceftazidime
160,ceftriaxone
160,ciprofloxacin
160,doripenem
160,ertapenem
160,imipenem
160,levofloxacin
160,meropenem
160,piperacillin-tazobactam
160,tetracycline
160,tigecycline
160,trimethoprim-sulfamethoxazole
161,ampicillin-sulbactam
161,ampicillin
161,aztreonam
161,cefazolin
161,cefotaxime
161,cefoxitin
161,ceftazidime
161,ceftolozane-tazobactam
161,ceftriaxone
161,doripenem
161,ertapenem
161,imipenem
161,meropenem
161,piperacillin-tazobactam
161,tetracycline
162,amoxicillin-clavulanic acid
162,ampicillin-sulbactam
162,ampicillin
162,aztreonam
162,cefazolin
162,cefepime
162,cefotaxime
162,cefoxitin
162,ceftazidime
162,ceftriaxone
162,ciprofloxacin
162,doripenem
162,ertapenem
162,imipenem
162,levofloxacin
162,meropenem
162,piperacillin-tazobactam
162,tetracycline
162,tobramycin
162,trimethoprim-sulfamethoxazole
163,amikacin
163,ampicillin-sulbactam
163,ampicillin
163,aztreonam
163,cefepime
163,cefotaxime
163,cefoxitin
163,ceftazidime
163,ceftolozane-tazobactam
163,ceftriaxone
163,ciprofloxacin
163,doripenem
163,ertapenem
163,gentamicin
163,imipenem
163,levofloxacin
163,meropenem
163,piperacillin-tazobactam
163,tetracycline
163,tobramycin
163,trimethoprim-sulfamethoxazole
164,ampicillin-sulbactam
164,ampicillin
164,aztreonam
164,cefepime
164,cefotaxime
164,cefoxitin
164,ceftazidime
164,ceftolozane-tazobactam
164,ceftriaxone
164,ciprofloxacin
164,ertapenem
164,levofloxacin
164,piperacillin-tazobactam
164,tobramycin
164,trimethoprim-sulfamethoxazole
165,ampicillin-sulbactam
165,ampicillin
165,aztreonam
165,cefazolin
165,cefepime
165,cefotaxime
165,cefoxitin
165,ceftazidime
165,ceftolozane-tazobactam
165,ceftriaxone
165,ciprofloxacin
165,doripenem
165,ertapenem
165,gentamicin
165,imipenem
165,levofloxacin
165,meropenem
165,piperacillin-tazobactam
165,tobramycin
165,trimethoprim-sulfamethoxazole
166,amoxicillin-clavulanic acid
166,ampicillin
166,aztreonam
166,cefazolin
166,cefepime
166,cefotaxime
166,cefoxitin
166,ceftazidime
166,ceftriaxone
166,ciprofloxacin
166,doripenem
166,ertapenem
166,imipenem
166,levofloxacin
166,meropenem
166,piperacillin-tazobactam
166,tetracycline
166,tobramycin
166,trimethoprim-sulfamethoxazole
167,amoxicillin-clavulanic acid
167,ampicillin
167,aztreonam
167,cefazolin
167,cefepime
167,cefotaxime
167,cefoxitin
167,ceftazidime
167,ceftriaxone
167,ciprofloxacin
167,doripenem
167,ertapenem
167,imipenem
167,levofloxacin
167,meropenem
167,piperacillin-tazobactam
167,tobramycin
167,trimethoprim-sulfamethoxazole
168,amoxicillin-clavulanic acid
168,ampicillin
168,aztreonam
168,cefazolin
168,cefepime
168,cefotaxime
168,cefoxitin
168,ceftazidime
168,ceftriaxone
168,ciprofloxacin
168,doripenem
168,ertapenem
168,imipenem
168,levofloxacin
168,meropenem
168,piperacillin-tazobactam
168,tetracycline
168,tobramycin
168,trimethoprim-sulfamethoxazole
169,amoxicillin-clavulanic acid
169,ampicillin
169,aztreonam
169,cefazolin
169,cefepime
169,cefotaxime
169,cefoxitin
169,ceftazidime
169,ceftriaxone
169,ciprofloxacin
169,doripenem
169,ertapenem
169,imipenem
169,levofloxacin
169,meropenem
169,piperacillin-tazobactam
169,tetracycline
169,tobramycin
169,trimethoprim-sulfamethoxazole
170,amoxicillin-clavulanic acid
170,ampicillin
170,aztreonam
170,cefazolin
170,cefepime
170,cefotaxime
170,cefoxitin
170,ceftazidime
170,ceftriaxone
170,ciprofloxacin
170,doripenem
170,ertapenem
170,imipenem
170,levofloxacin
170,meropenem
170,piperacillin-tazobactam
170,tobramycin
170,trimethoprim-sulfamethoxazole
171,amoxicillin-clavulanic acid
171,ampicillin
171,aztreonam
171,cefazolin
171,cefepime
171,cefotaxime
171,cefoxitin
171,ceftazidime
171,ceftriaxone
171,ciprofloxacin
171,doripenem
171,ertapenem
171,imipenem
171,levofloxacin
171,meropenem
171,piperacillin-tazobactam
171,tetracycline
171,tobramycin
171,trimethoprim-sulfamethoxazole
172,amoxicillin-clavulanic acid
172,ampicillin
172,aztreonam
172,cefazolin
172,cefepime
172,cefotaxime
172,cefoxitin
172,ceftazidime
172,ceftriaxone
172,ciprofloxacin
172,doripenem
172,ertapenem
172,imipenem
172,levofloxacin
172,meropenem
172,piperacillin-tazobactam
172,tobramycin
172,trimethoprim-sulfamethoxazole
173,amoxicillin-clavulanic acid
173,ampicillin-sulbactam
173,ampicillin
173,aztreonam
173,cefazolin
173,cefepime
173,cefotaxime
173,cefoxitin
173,ceftazidime
173,ceftriaxone
173,ciprofloxacin
173,doripenem
173,ertapenem
173,imipenem
173,levofloxacin
173,meropenem
173,piperacillin-tazobactam
173,tobramycin
173,trimethoprim-sulfamethoxazole
174,ampicillin-sulbactam
174,ampicillin
174,aztreonam
174,cefepime
174,cefotaxime
174,cefoxitin
174,ceftazidime
174,ceftolozane-tazobactam
174,ceftriaxone
174,ciprofloxacin
174,colistin
174,doripenem
174,ertapenem
174,imipenem
174,levofloxacin
174,meropenem
174,piperacillin-tazobactam
174,tetracycline
174,trimethoprim-sulfamethoxazole
175,amoxicillin-clavulanic acid
175,ampicillin-sulbactam
175,ampicillin
175,aztreonam
175,cefazolin
175,cefepime
175,cefotaxime
175,cefoxitin
175,ceftazidime
175,ceftriaxone
175,ciprofloxacin
